voter_id,dim1,dim2,dim3,jméno,kandidátka,klub,mp_id,name,party,datum
299,-5.36998444078268,-3.0236350971861023,-0.8874196363322905,,,,299.0,Petr Holeček,STAN,2.0
300,2.8187015043867842,-1.1612016797974858,-2.1455000774558632,,,,300.0,Michael Canov,SLK,2.0
301,0.1939900968905507,-2.4754763175158807,1.4865695283569114,,,,301.0,Tomáš Czernin,KDU+ODS+TOP 09,2.0
302,-2.8324841879890097,0.4784593265956554,5.2761710018305035,,,,302.0,Jaromíra Vítková,KDU+ODS+TOP 09,2.0
303,3.9840908259340004,8.060113410473535,-2.7437846328469093,,,,303.0,Jiří Dušek,ČSSDODSVasFaktB,2.0
304,-2.9972028022952677,-0.4401054898866841,5.587306450316467,,,,304.0,Lumír Kantor,KDU+ODS+TOP 09,2.0
305,4.61452078501864,8.355548304832064,-2.843117243573468,,,,305.0,Ladislav Václavec,ANO,2.0
306,-6.913057828898677,-2.117452282626671,4.22267000792027,,,,306.0,Petr Orel,KDUČSLSZ,2.0
307,7.1429069444563185,-1.564782618195218,-3.2398755679369806,,,,307.0,Zdeněk Nytra,KDU+ODS+TOP 09,2.0
308,3.1673943708681263,7.089381006870344,0.2952350907454942,,,,308.0,Jiří Cieńciała,"""OSN""",2.0
309,-3.2968841189183573,-0.1070151351898376,5.530595165836477,,,,309.0,Šárka Jelínková,KDU-ČSL,2.0
310,-3.8271159096700504,1.127093911771316,5.622987510441552,,,,310.0,Anna Hubáčková,KDU-ČSL,2.0
311,-5.496865868593122,-2.4421732774749745,0.8223547463159183,,,,311.0,Jan Sobotka,STAN,2.0
312,0.9939761812656086,-1.3792452441105123,-0.40719951355637324,,,,312.0,Tomáš Goláň,SEN 21,2.0
313,-3.19198895804048,-1.332012792232169,0.14493575397345126,,,,313.0,Jiří Drahoš,KDU+Z+STAN+TOP,2.0
314,-4.617879355840183,-3.730066196546735,0.10743307449579484,,,,314.0,Miroslav Balatka,STAN,2.0
315,-5.6495042043203325,-3.04351131268007,2.393780972002298,,,,315.0,Přemysl Rabas,SEN 21,2.0
316,7.426410529012325,-1.0249900996294508,-4.715982366186843,,,,316.0,Pavel Karpíšek,ODS,2.0
317,7.0416039692662515,-0.9875208641281937,-3.0082273873082097,,,,317.0,Vladislav Vilímec,ODS,2.0
318,7.506958723873604,-1.0604366838107084,-3.7208271616159343,,,,318.0,Ladislav Faktor,NK,2.0
319,0.11841880494619308,-2.6068903145839424,-0.8396638354525161,,,,319.0,Pavel Fischer,NK,2.0
320,-5.749286407461012,-4.18510514580839,1.6592981526920945,,,,320.0,Lukáš Wagenknecht,Piráti,2.0
321,-6.5015556019793195,-4.3025900791677305,2.4745135638474776,,,,321.0,Marek Hilšer,MHS,2.0
